conflict_name,start_year,end_year,theater,battle_name,country,alliance,role,casualties_mil_k,casualties_civ_k,military_personnel_k,front,outcome,treaty,key_leader,equipment_focus,notes
World War I,1914,1918,Middle East,Ypres,Russia,Allied Powers,Support,663.09,406.18,2681.93,Middle East,Allied Victory,Armistice of 1918,Kaiser Wilhelm II,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Italian Front,Gallipoli,Ottoman Empire,Central Powers,Air,750.52,182.67,670.04,Italian Front,Allied Victory,Armistice of 1918,Franz Joseph I,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Air,Ypres,Belgium,Allied Powers,Naval,714.57,575.92,2221.09,Air,Allied Victory,Treaty of Trianon,Nicholas II,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Balkans,Gallipoli,Russia,Allied Powers,Support,133.47,28.21,2952.61,Balkans,Allied Victory,Treaty of Versailles,Kaiser Wilhelm II,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Air,Jutland,Russia,Allied Powers,Support,590.8,3.82,2265.35,Air,Allied Victory,Treaty of Sevres,Georges Clemenceau,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Balkans,Verdun,United States,Allied Powers,Support,721.47,400.71,2964.28,Balkans,Allied Victory,Treaty of Trianon,Enver Pasha,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Italian Front,Caporetto,United States,Allied Powers,Expeditionary,676.85,504.0,868.07,Italian Front,Allied Victory,Treaty of Sevres,Franz Joseph I,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Eastern Front,Gallipoli,Russia,Allied Powers,Expeditionary,302.93,535.87,287.7,Eastern Front,Allied Victory,Treaty of Saint-Germain,Kaiser Wilhelm II,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Eastern Front,Jutland,Ottoman Empire,Central Powers,Expeditionary,488.81,249.76,660.16,Eastern Front,Allied Victory,Treaty of Sevres,Enver Pasha,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Air,Somme,Italy,Allied Powers,Expeditionary,678.37,512.14,2862.62,Air,Allied Victory,Armistice of 1918,Franz Joseph I,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Balkans,Gallipoli,Ottoman Empire,Central Powers,Naval,27.09,202.01,2053.47,Balkans,Allied Victory,Treaty of Saint-Germain,Enver Pasha,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Naval,Somme,France,Allied Powers,Naval,122.99,277.29,198.34,Naval,Allied Victory,Treaty of Trianon,Georges Clemenceau,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Naval,Gallipoli,Ottoman Empire,Central Powers,Expeditionary,751.58,282.45,2259.62,Naval,Allied Victory,Treaty of Trianon,Georges Clemenceau,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Western Front,Ypres,Russia,Allied Powers,Belligerent,559.58,143.51,1447.01,Western Front,Allied Victory,Armistice of 1918,Georges Clemenceau,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Italian Front,Verdun,Germany,Central Powers,Expeditionary,98.18,15.89,970.27,Italian Front,Allied Victory,Treaty of Sevres,Franz Joseph I,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Eastern Front,Gallipoli,Serbia,Allied Powers,Belligerent,716.81,339.78,171.15,Eastern Front,Allied Victory,Treaty of Sevres,Franz Joseph I,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Western Front,Jutland,United States,Allied Powers,Belligerent,390.74,217.63,2680.15,Western Front,Allied Victory,Treaty of Saint-Germain,Kaiser Wilhelm II,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Air,Jutland,Serbia,Allied Powers,Expeditionary,290.75,147.67,2807.13,Air,Allied Victory,Treaty of Sevres,Georges Clemenceau,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Africa,Somme,United States,Allied Powers,Expeditionary,164.47,127.67,2403.61,Africa,Allied Victory,Treaty of Trianon,Nicholas II,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Balkans,Verdun,Russia,Allied Powers,Naval,440.23,455.02,2087.3,Balkans,Allied Victory,Treaty of Sevres,Enver Pasha,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Balkans,Jutland,Russia,Allied Powers,Expeditionary,597.9,221.73,1682.75,Balkans,Allied Victory,Treaty of Sevres,Franz Joseph I,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Air,Gallipoli,Austria-Hungary,Central Powers,Expeditionary,208.25,432.91,980.87,Air,Allied Victory,Treaty of Saint-Germain,Georges Clemenceau,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Middle East,Verdun,Russia,Allied Powers,Expeditionary,205.51,108.08,91.74,Middle East,Allied Victory,Treaty of Saint-Germain,David Lloyd George,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Italian Front,Caporetto,France,Allied Powers,Belligerent,517.08,281.9,1349.38,Italian Front,Allied Victory,Treaty of Versailles,David Lloyd George,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Eastern Front,Jutland,United States,Allied Powers,Belligerent,519.74,412.03,497.59,Eastern Front,Allied Victory,Treaty of Trianon,Woodrow Wilson,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Balkans,Jutland,United States,Allied Powers,Naval,268.32,353.32,1315.05,Balkans,Allied Victory,Armistice of 1918,Woodrow Wilson,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Balkans,Gallipoli,France,Allied Powers,Support,216.64,331.42,511.77,Balkans,Allied Victory,Treaty of Sevres,Franz Joseph I,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Western Front,Ypres,Austria-Hungary,Central Powers,Expeditionary,632.99,272.69,2077.79,Western Front,Allied Victory,Armistice of 1918,Franz Joseph I,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Eastern Front,Ypres,Germany,Central Powers,Expeditionary,744.14,43.31,539.47,Eastern Front,Allied Victory,Armistice of 1918,Franz Joseph I,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Eastern Front,Caporetto,Austria-Hungary,Central Powers,Naval,848.47,300.53,1506.7,Eastern Front,Allied Victory,Armistice of 1918,Woodrow Wilson,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Western Front,Verdun,Russia,Allied Powers,Air,528.82,12.94,2306.04,Western Front,Allied Victory,Armistice of 1918,Woodrow Wilson,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Air,Gallipoli,Germany,Central Powers,Air,392.86,488.64,2908.71,Air,Allied Victory,Treaty of Trianon,Kaiser Wilhelm II,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Italian Front,Tannenberg,Ottoman Empire,Central Powers,Naval,260.11,567.14,2450.02,Italian Front,Allied Victory,Treaty of Versailles,Kaiser Wilhelm II,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Africa,Verdun,Ottoman Empire,Central Powers,Air,742.61,1.19,2614.63,Africa,Allied Victory,Treaty of Sevres,Woodrow Wilson,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Air,Somme,Russia,Allied Powers,Expeditionary,494.75,556.64,1342.44,Air,Allied Victory,Treaty of Versailles,Woodrow Wilson,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Middle East,Somme,Belgium,Allied Powers,Naval,84.8,595.36,2743.14,Middle East,Allied Victory,Treaty of Versailles,Franz Joseph I,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Middle East,Gallipoli,Ottoman Empire,Central Powers,Naval,882.24,146.62,1676.23,Middle East,Allied Victory,Treaty of Saint-Germain,Nicholas II,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Middle East,Jutland,Italy,Allied Powers,Air,241.19,2.04,2191.85,Middle East,Allied Victory,Armistice of 1918,Franz Joseph I,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Air,Tannenberg,Italy,Allied Powers,Air,686.82,226.64,2801.91,Air,Allied Victory,Treaty of Saint-Germain,Nicholas II,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Western Front,Tannenberg,United States,Allied Powers,Naval,348.08,398.38,2471.21,Western Front,Allied Victory,Treaty of Sevres,Woodrow Wilson,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Air,Verdun,Belgium,Allied Powers,Naval,14.8,86.92,2619.25,Air,Allied Victory,Treaty of Versailles,Kaiser Wilhelm II,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Naval,Verdun,Italy,Allied Powers,Air,342.63,190.34,2170.22,Naval,Allied Victory,Armistice of 1918,Woodrow Wilson,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Middle East,Ypres,France,Allied Powers,Naval,880.53,456.34,2126.48,Middle East,Allied Victory,Treaty of Sevres,Georges Clemenceau,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Western Front,Tannenberg,United Kingdom,Allied Powers,Expeditionary,323.26,258.7,770.38,Western Front,Allied Victory,Armistice of 1918,Franz Joseph I,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Italian Front,Verdun,Serbia,Allied Powers,Naval,558.12,144.88,2742.85,Italian Front,Allied Victory,Treaty of Saint-Germain,Kaiser Wilhelm II,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Middle East,Somme,United States,Allied Powers,Expeditionary,610.17,95.21,1353.1,Middle East,Allied Victory,Armistice of 1918,David Lloyd George,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Air,Gallipoli,Russia,Allied Powers,Naval,768.15,64.44,1175.02,Air,Allied Victory,Armistice of 1918,David Lloyd George,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Naval,Gallipoli,United Kingdom,Allied Powers,Air,778.7,467.1,2922.13,Naval,Allied Victory,Treaty of Sevres,Enver Pasha,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Balkans,Ypres,Serbia,Allied Powers,Expeditionary,610.31,432.7,1994.59,Balkans,Allied Victory,Treaty of Versailles,Franz Joseph I,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Air,Somme,Serbia,Allied Powers,Expeditionary,659.39,54.53,920.58,Air,Allied Victory,Treaty of Saint-Germain,Georges Clemenceau,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Italian Front,Gallipoli,United States,Allied Powers,Expeditionary,672.16,203.56,389.75,Italian Front,Allied Victory,Treaty of Saint-Germain,Enver Pasha,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Eastern Front,Jutland,United Kingdom,Allied Powers,Expeditionary,483.38,273.14,2034.84,Eastern Front,Allied Victory,Armistice of 1918,Kaiser Wilhelm II,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Balkans,Caporetto,United Kingdom,Allied Powers,Air,795.93,337.06,2750.0,Balkans,Allied Victory,Treaty of Versailles,Franz Joseph I,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Naval,Verdun,Germany,Central Powers,Belligerent,851.69,182.97,1503.24,Naval,Allied Victory,Treaty of Saint-Germain,Nicholas II,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Africa,Jutland,Serbia,Allied Powers,Support,796.99,393.13,2509.39,Africa,Allied Victory,Treaty of Sevres,David Lloyd George,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Air,Caporetto,Russia,Allied Powers,Expeditionary,90.32,411.57,1656.17,Air,Allied Victory,Treaty of Versailles,Kaiser Wilhelm II,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Air,Verdun,Russia,Allied Powers,Air,874.01,30.82,1033.85,Air,Allied Victory,Armistice of 1918,Georges Clemenceau,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Balkans,Tannenberg,Germany,Central Powers,Air,3.55,515.11,476.83,Balkans,Allied Victory,Armistice of 1918,David Lloyd George,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Western Front,Marne,United Kingdom,Allied Powers,Expeditionary,711.2,143.14,1005.13,Western Front,Allied Victory,Treaty of Trianon,Woodrow Wilson,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Eastern Front,Caporetto,United States,Allied Powers,Expeditionary,462.4,65.88,1536.32,Eastern Front,Allied Victory,Treaty of Versailles,Franz Joseph I,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Western Front,Somme,United States,Allied Powers,Naval,384.22,65.22,2151.58,Western Front,Allied Victory,Treaty of Versailles,Woodrow Wilson,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Italian Front,Gallipoli,Serbia,Allied Powers,Air,493.97,195.45,2984.15,Italian Front,Allied Victory,Treaty of Trianon,Kaiser Wilhelm II,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Eastern Front,Ypres,Ottoman Empire,Central Powers,Naval,799.39,248.58,2490.89,Eastern Front,Allied Victory,Treaty of Sevres,Franz Joseph I,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Africa,Gallipoli,Italy,Allied Powers,Support,618.45,284.82,319.11,Africa,Allied Victory,Treaty of Versailles,Kaiser Wilhelm II,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Western Front,Tannenberg,France,Allied Powers,Naval,318.88,399.37,2263.34,Western Front,Allied Victory,Treaty of Trianon,Nicholas II,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Balkans,Marne,United States,Allied Powers,Support,762.7,210.39,1690.98,Balkans,Allied Victory,Treaty of Trianon,Nicholas II,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Middle East,Somme,Germany,Central Powers,Expeditionary,632.73,185.74,1052.48,Middle East,Allied Victory,Treaty of Saint-Germain,Enver Pasha,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Italian Front,Somme,France,Allied Powers,Air,194.4,252.19,1055.64,Italian Front,Allied Victory,Treaty of Trianon,Franz Joseph I,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Italian Front,Marne,Serbia,Allied Powers,Belligerent,606.9,163.63,2002.72,Italian Front,Allied Victory,Armistice of 1918,Kaiser Wilhelm II,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Eastern Front,Tannenberg,Ottoman Empire,Central Powers,Belligerent,255.64,407.25,1485.57,Eastern Front,Allied Victory,Treaty of Versailles,Georges Clemenceau,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Balkans,Gallipoli,Russia,Allied Powers,Support,687.98,174.02,403.95,Balkans,Allied Victory,Treaty of Sevres,Georges Clemenceau,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Africa,Verdun,Ottoman Empire,Central Powers,Belligerent,393.16,276.12,279.69,Africa,Allied Victory,Armistice of 1918,Kaiser Wilhelm II,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Middle East,Verdun,Ottoman Empire,Central Powers,Belligerent,869.61,103.54,2845.46,Middle East,Allied Victory,Treaty of Trianon,Woodrow Wilson,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Naval,Jutland,Belgium,Allied Powers,Belligerent,356.79,186.51,1051.56,Naval,Allied Victory,Treaty of Saint-Germain,Woodrow Wilson,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Africa,Tannenberg,Germany,Central Powers,Support,93.42,153.95,561.82,Africa,Allied Victory,Treaty of Versailles,Georges Clemenceau,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Air,Tannenberg,Italy,Allied Powers,Support,396.35,281.62,1912.59,Air,Allied Victory,Armistice of 1918,Woodrow Wilson,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Air,Caporetto,United Kingdom,Allied Powers,Belligerent,332.5,172.6,1951.77,Air,Allied Victory,Armistice of 1918,Nicholas II,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Western Front,Caporetto,Serbia,Allied Powers,Support,290.05,285.64,495.04,Western Front,Allied Victory,Treaty of Sevres,Woodrow Wilson,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Italian Front,Somme,Russia,Allied Powers,Naval,891.9,314.68,1848.93,Italian Front,Allied Victory,Treaty of Trianon,David Lloyd George,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Western Front,Tannenberg,France,Allied Powers,Expeditionary,85.96,407.19,888.23,Western Front,Allied Victory,Treaty of Saint-Germain,David Lloyd George,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Middle East,Jutland,Germany,Central Powers,Air,638.24,51.29,1698.82,Middle East,Allied Victory,Treaty of Saint-Germain,Franz Joseph I,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Africa,Somme,Italy,Allied Powers,Expeditionary,163.06,128.91,2845.62,Africa,Allied Victory,Treaty of Saint-Germain,Georges Clemenceau,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
