issue_label,year,region,primary_parties,allies,adversaries,trigger_event,escalation_level,probability_estimate,confidence,humanitarian_impact,economic_impact,cyber_domain,nuclear_risk,narrative,data_origin,notes
Korean Peninsula Risk,2025,Middle East,Venezuela; United States,NATO,Hybrid Threats,Border incident,Moderate,0.052,Medium,Mass displacement,Energy price spike,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,East Asia,Russia; Ukraine,Non-Aligned,State Actors,Airspace violation,Low,0.228,Low,Humanitarian crisis,Global market impact,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,Non-State Actors,Border incident,Low,0.445,Medium,Localized displacement,Global market impact,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,East Asia,Russia; Ukraine,Non-Aligned,Non-State Actors,Maritime confrontation,Low,0.772,Low,Mass displacement,Global market impact,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Middle East,Russia; Ukraine,Regional Allies,Non-State Actors,Border incident,Moderate,0.737,Medium,Regional displacement,Energy price spike,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,South Asia,China; Taiwan,NATO,Opposing Coalition,Sanctions escalation,Severe,0.593,High,Humanitarian crisis,Regional recession,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,South Asia,North Korea; South Korea,NATO,State Actors,Cyber attack,Low,0.764,High,Mass displacement,Localized shock,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Eastern Europe,China; Taiwan,Regional Allies,Non-State Actors,Cyber attack,Low,0.569,High,Humanitarian crisis,Regional recession,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Eastern Europe,China; Taiwan,Regional Allies,Opposing Coalition,Airspace violation,Low,0.619,High,Localized displacement,Regional recession,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Latin America,China; Taiwan,UN Mediation,Hybrid Threats,Proxy conflict,Low,0.722,Medium,Humanitarian crisis,Energy price spike,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Eastern Europe,India; Pakistan,UN Mediation,Hybrid Threats,Cyber attack,Severe,0.185,Low,Localized displacement,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,East Asia,India; Pakistan,Coalition B,Hybrid Threats,Cyber attack,Low,0.643,High,Regional displacement,Energy price spike,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Middle East,Russia; Ukraine,NATO,Opposing Coalition,Maritime confrontation,Severe,0.762,High,Regional displacement,Energy price spike,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,East Asia,India; Pakistan,UN Mediation,Non-State Actors,Maritime confrontation,High,0.674,Low,Regional displacement,Localized shock,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Eastern Europe,Venezuela; United States,UN Mediation,State Actors,Cyber attack,Low,0.459,High,Mass displacement,Energy price spike,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Latin America,China; Taiwan,Regional Allies,Non-State Actors,Sanctions escalation,Severe,0.07,High,Regional displacement,Regional recession,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Middle East,India; Pakistan,NATO,Hybrid Threats,Airspace violation,Moderate,0.659,Low,Localized displacement,Energy price spike,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Middle East,Venezuela; United States,UN Mediation,Non-State Actors,Airspace violation,Severe,0.262,High,Humanitarian crisis,Global market impact,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Latin America,Russia; Ukraine,Coalition B,Opposing Coalition,Airspace violation,Severe,0.702,Low,Localized displacement,Regional recession,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Middle East,North Korea; South Korea,Coalition A,State Actors,Airspace violation,Severe,0.498,High,Localized displacement,Localized shock,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,South Asia,Russia; Ukraine,Regional Allies,Opposing Coalition,Sanctions escalation,Severe,0.639,Low,Regional displacement,Regional recession,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,East Asia,India; Pakistan,Non-Aligned,Hybrid Threats,Cyber attack,Moderate,0.079,High,Localized displacement,Regional recession,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Eastern Europe,Russia; Ukraine,Non-Aligned,Non-State Actors,Cyber attack,Severe,0.429,Low,Humanitarian crisis,Energy price spike,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,South Asia,India; Pakistan,Coalition A,Opposing Coalition,Maritime confrontation,Severe,0.755,High,Localized displacement,Energy price spike,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Middle East,North Korea; South Korea,Regional Allies,Non-State Actors,Sanctions escalation,Low,0.071,Low,Localized displacement,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Latin America,North Korea; South Korea,UN Mediation,Non-State Actors,Sanctions escalation,Severe,0.094,Low,Mass displacement,Energy price spike,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,South Asia,Russia; Ukraine,Coalition A,State Actors,Cyber attack,High,0.495,Low,Humanitarian crisis,Regional recession,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,NATO,Opposing Coalition,Border incident,Low,0.517,Low,Humanitarian crisis,Localized shock,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,South Asia,India; Pakistan,Coalition B,Hybrid Threats,Sanctions escalation,Severe,0.733,Low,Humanitarian crisis,Energy price spike,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,South Asia,Russia; Ukraine,Coalition B,State Actors,Airspace violation,Severe,0.014,Medium,Regional displacement,Energy price spike,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,South Asia,India; Pakistan,NATO,State Actors,Proxy conflict,Severe,0.364,Low,Mass displacement,Localized shock,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,State Actors,Airspace violation,Moderate,0.377,Low,Mass displacement,Localized shock,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,South Asia,North Korea; South Korea,Coalition A,Hybrid Threats,Proxy conflict,Low,0.107,High,Localized displacement,Energy price spike,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,East Asia,Venezuela; United States,Non-Aligned,Hybrid Threats,Maritime confrontation,Moderate,0.163,Medium,Localized displacement,Global market impact,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,East Asia,North Korea; South Korea,Regional Allies,Hybrid Threats,Airspace violation,Low,0.817,Low,Mass displacement,Localized shock,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Latin America,China; Taiwan,Coalition B,Non-State Actors,Maritime confrontation,Moderate,0.738,High,Mass displacement,Global market impact,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,East Asia,China; Taiwan,UN Mediation,Opposing Coalition,Sanctions escalation,Low,0.581,Medium,Localized displacement,Global market impact,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Latin America,Venezuela; United States,Coalition A,State Actors,Airspace violation,Low,0.15,Low,Humanitarian crisis,Regional recession,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,South Asia,China; Taiwan,Coalition B,Non-State Actors,Border incident,Moderate,0.776,Low,Localized displacement,Global market impact,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Non-State Actors,Sanctions escalation,Low,0.591,Low,Regional displacement,Energy price spike,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Latin America,Russia; Ukraine,Non-Aligned,Non-State Actors,Maritime confrontation,Severe,0.541,Low,Mass displacement,Global market impact,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Latin America,North Korea; South Korea,Non-Aligned,State Actors,Border incident,High,0.168,High,Humanitarian crisis,Regional recession,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,East Asia,Venezuela; United States,NATO,Hybrid Threats,Border incident,Severe,0.173,Medium,Mass displacement,Global market impact,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Latin America,China; Taiwan,Non-Aligned,Opposing Coalition,Maritime confrontation,Low,0.55,Low,Localized displacement,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Latin America,North Korea; South Korea,Non-Aligned,Opposing Coalition,Proxy conflict,Severe,0.802,Medium,Mass displacement,Global market impact,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,South Asia,Venezuela; United States,Non-Aligned,Hybrid Threats,Maritime confrontation,Low,0.523,High,Regional displacement,Global market impact,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Eastern Europe,North Korea; South Korea,Regional Allies,State Actors,Proxy conflict,Severe,0.372,High,Regional displacement,Energy price spike,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,South Asia,China; Taiwan,Coalition A,Non-State Actors,Border incident,Severe,0.272,High,Regional displacement,Localized shock,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Middle East,China; Taiwan,UN Mediation,Hybrid Threats,Airspace violation,Moderate,0.593,High,Mass displacement,Energy price spike,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Latin America,Venezuela; United States,UN Mediation,State Actors,Sanctions escalation,Severe,0.439,Medium,Mass displacement,Energy price spike,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,East Asia,North Korea; South Korea,Non-Aligned,Opposing Coalition,Proxy conflict,Severe,0.758,High,Mass displacement,Regional recession,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,East Asia,Venezuela; United States,NATO,State Actors,Cyber attack,Severe,0.431,Medium,Regional displacement,Energy price spike,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,East Asia,North Korea; South Korea,UN Mediation,Hybrid Threats,Proxy conflict,Low,0.64,Low,Regional displacement,Energy price spike,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,East Asia,North Korea; South Korea,Coalition B,State Actors,Proxy conflict,High,0.092,Low,Localized displacement,Regional recession,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,South Asia,North Korea; South Korea,Regional Allies,State Actors,Proxy conflict,High,0.242,Medium,Localized displacement,Regional recession,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Middle East,India; Pakistan,Coalition A,Hybrid Threats,Cyber attack,Moderate,0.612,Medium,Mass displacement,Localized shock,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Middle East,North Korea; South Korea,UN Mediation,Non-State Actors,Cyber attack,High,0.256,High,Regional displacement,Localized shock,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Latin America,Venezuela; United States,Regional Allies,Non-State Actors,Border incident,Moderate,0.028,Medium,Mass displacement,Regional recession,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Eastern Europe,China; Taiwan,NATO,Hybrid Threats,Maritime confrontation,High,0.468,Medium,Regional displacement,Energy price spike,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,South Asia,China; Taiwan,Coalition A,State Actors,Proxy conflict,Low,0.724,High,Mass displacement,Localized shock,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,Opposing Coalition,Maritime confrontation,Moderate,0.703,High,Localized displacement,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,East Asia,North Korea; South Korea,Coalition A,Non-State Actors,Sanctions escalation,Moderate,0.702,Medium,Localized displacement,Energy price spike,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,East Asia,North Korea; South Korea,Non-Aligned,Hybrid Threats,Sanctions escalation,Severe,0.581,Medium,Regional displacement,Energy price spike,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Middle East,India; Pakistan,Non-Aligned,Non-State Actors,Airspace violation,Severe,0.834,Low,Regional displacement,Global market impact,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Middle East,Venezuela; United States,Coalition A,Non-State Actors,Maritime confrontation,Moderate,0.361,Low,Mass displacement,Localized shock,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Middle East,Russia; Ukraine,Coalition A,Non-State Actors,Sanctions escalation,High,0.27,High,Humanitarian crisis,Localized shock,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,East Asia,North Korea; South Korea,UN Mediation,State Actors,Airspace violation,High,0.118,Low,Localized displacement,Localized shock,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Eastern Europe,China; Taiwan,Coalition A,Hybrid Threats,Sanctions escalation,Moderate,0.526,High,Mass displacement,Energy price spike,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Latin America,Russia; Ukraine,Non-Aligned,Opposing Coalition,Border incident,Moderate,0.378,Medium,Regional displacement,Localized shock,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Latin America,Russia; Ukraine,Coalition A,Non-State Actors,Maritime confrontation,Low,0.773,Medium,Humanitarian crisis,Regional recession,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,Eastern Europe,Venezuela; United States,UN Mediation,Opposing Coalition,Airspace violation,Severe,0.724,Medium,Localized displacement,Localized shock,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Eastern Europe,India; Pakistan,Regional Allies,State Actors,Sanctions escalation,High,0.412,Medium,Regional displacement,Energy price spike,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Latin America,Venezuela; United States,Regional Allies,Non-State Actors,Airspace violation,Severe,0.331,High,Localized displacement,Localized shock,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,East Asia,India; Pakistan,Regional Allies,State Actors,Cyber attack,High,0.641,Low,Humanitarian crisis,Global market impact,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Eastern Europe,Venezuela; United States,UN Mediation,Non-State Actors,Airspace violation,Low,0.583,Medium,Mass displacement,Global market impact,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Middle East,China; Taiwan,Coalition B,State Actors,Sanctions escalation,Moderate,0.665,Medium,Localized displacement,Regional recession,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Latin America,China; Taiwan,Coalition A,Hybrid Threats,Airspace violation,Severe,0.566,Low,Localized displacement,Energy price spike,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Hybrid Threats,Airspace violation,Low,0.345,Medium,Localized displacement,Localized shock,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Non-State Actors,Border incident,Low,0.356,Low,Localized displacement,Energy price spike,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,Opposing Coalition,Maritime confrontation,Low,0.632,High,Regional displacement,Energy price spike,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Latin America,North Korea; South Korea,Regional Allies,State Actors,Sanctions escalation,Low,0.238,Low,Localized displacement,Regional recession,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,South Asia,North Korea; South Korea,Coalition A,State Actors,Cyber attack,Severe,0.013,Medium,Regional displacement,Localized shock,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Middle East,Venezuela; United States,Coalition A,Opposing Coalition,Proxy conflict,Moderate,0.393,Medium,Localized displacement,Global market impact,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,East Asia,Venezuela; United States,Regional Allies,Opposing Coalition,Proxy conflict,Moderate,0.678,High,Regional displacement,Energy price spike,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Eastern Europe,North Korea; South Korea,Coalition B,Opposing Coalition,Sanctions escalation,High,0.374,Medium,Localized displacement,Regional recession,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,East Asia,Russia; Ukraine,Coalition B,State Actors,Border incident,High,0.801,High,Mass displacement,Energy price spike,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,South Asia,North Korea; South Korea,NATO,Hybrid Threats,Cyber attack,Low,0.175,Low,Humanitarian crisis,Localized shock,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,South Asia,India; Pakistan,Non-Aligned,Hybrid Threats,Maritime confrontation,Low,0.716,Medium,Regional displacement,Energy price spike,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Latin America,Venezuela; United States,Coalition A,Hybrid Threats,Cyber attack,Low,0.521,Low,Mass displacement,Global market impact,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,South Asia,China; Taiwan,UN Mediation,Hybrid Threats,Border incident,Low,0.073,Low,Humanitarian crisis,Global market impact,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
