conflict_name,start_year,end_year,theater,operation_name,country,alliance,role,casualties_mil_k,casualties_civ_k,military_personnel_k,front,outcome,conference_or_treaty,key_leader,equipment_focus,notes
World War II,1939,1946,North Africa,Okinawa,Canada,Allies,Expeditionary,1150.4,605.98,2899.95,North Africa,Allied Victory,United Nations Charter,Franklin D. Roosevelt,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Eastern Front,D-Day,Japan,Axis,Air,787.56,1191.07,3541.74,Eastern Front,Allied Victory,United Nations Charter,Adolf Hitler,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1946,Pacific,Battle of Britain,Soviet Union,Allies,Naval,810.91,691.22,101.47,Pacific,Allied Victory,Armistice,Adolf Hitler,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,Pacific,Iwo Jima,Poland,Allies,Expeditionary,1316.81,781.51,1872.4,Pacific,Allied Victory,Potsdam Conference,Charles de Gaulle,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,Atlantic,El Alamein,Canada,Allies,Air,1102.02,379.76,566.6,Atlantic,Allied Victory,Yalta Conference,Adolf Hitler,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,North Africa,Barbarossa,China,Allies,Support,15.16,1181.69,4341.88,North Africa,Allied Victory,Potsdam Conference,Charles de Gaulle,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,Pacific,D-Day,Soviet Union,Allies,Air,501.12,634.18,1462.77,Pacific,Allied Victory,Potsdam Conference,Winston Churchill,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,Pacific,Okinawa,Poland,Allies,Air,1467.75,469.99,748.27,Pacific,Allied Victory,Tehran Conference,Hideki Tojo,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,North Africa,Iwo Jima,Germany,Axis,Air,170.4,231.89,2287.89,North Africa,Allied Victory,United Nations Charter,Winston Churchill,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,North Africa,El Alamein,Japan,Axis,Belligerent,346.47,454.98,3660.7,North Africa,Allied Victory,United Nations Charter,Joseph Stalin,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,Eastern Front,Battle of Britain,United Kingdom,Allies,Belligerent,968.42,701.03,3230.21,Eastern Front,Allied Victory,Yalta Conference,Winston Churchill,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,Asia,Battle of Britain,Italy,Axis,Air,713.76,1080.38,3531.52,Asia,Allied Victory,Potsdam Conference,Charles de Gaulle,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,North Africa,Iwo Jima,China,Allies,Support,631.43,557.52,859.92,North Africa,Allied Victory,United Nations Charter,Adolf Hitler,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1946,North Africa,El Alamein,Italy,Axis,Air,554.62,1177.94,4249.69,North Africa,Allied Victory,United Nations Charter,Hideki Tojo,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Pacific,Battle of Britain,China,Allies,Support,1092.76,279.25,844.87,Pacific,Allied Victory,Armistice,Joseph Stalin,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,North Africa,Barbarossa,Japan,Axis,Support,621.48,1126.99,1207.75,North Africa,Allied Victory,United Nations Charter,Hideki Tojo,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Pacific,El Alamein,Germany,Axis,Naval,3.56,363.94,1137.32,Pacific,Allied Victory,Yalta Conference,Franklin D. Roosevelt,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,Eastern Front,Battle of Britain,Soviet Union,Allies,Belligerent,186.42,622.86,2722.31,Eastern Front,Allied Victory,Yalta Conference,Hideki Tojo,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,Eastern Front,Okinawa,France,Allies,Support,1348.5,522.63,4180.47,Eastern Front,Allied Victory,Potsdam Conference,Joseph Stalin,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,Eastern Front,D-Day,United States,Allies,Naval,380.63,810.29,4423.72,Eastern Front,Allied Victory,Potsdam Conference,Winston Churchill,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,Pacific,Okinawa,Poland,Allies,Expeditionary,264.99,812.3,1976.31,Pacific,Allied Victory,Potsdam Conference,Hideki Tojo,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,European,Stalingrad,Japan,Axis,Support,1384.68,951.55,3220.54,European,Allied Victory,United Nations Charter,Adolf Hitler,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,Pacific,El Alamein,Japan,Axis,Naval,67.89,1076.58,1354.99,Pacific,Allied Victory,Armistice,Franklin D. Roosevelt,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,Eastern Front,Midway,Soviet Union,Allies,Air,849.03,1037.57,1489.65,Eastern Front,Allied Victory,United Nations Charter,Joseph Stalin,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Atlantic,Iwo Jima,Soviet Union,Allies,Belligerent,244.31,25.35,3698.57,Atlantic,Allied Victory,Potsdam Conference,Adolf Hitler,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,Eastern Front,El Alamein,Germany,Axis,Support,213.75,304.77,3646.38,Eastern Front,Allied Victory,Potsdam Conference,Franklin D. Roosevelt,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Asia,D-Day,Japan,Axis,Belligerent,1.12,178.23,4163.48,Asia,Allied Victory,Potsdam Conference,Charles de Gaulle,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,Atlantic,Okinawa,Germany,Axis,Belligerent,513.5,659.08,3686.21,Atlantic,Allied Victory,Yalta Conference,Winston Churchill,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1946,Asia,Iwo Jima,Soviet Union,Allies,Naval,1407.73,525.34,4650.38,Asia,Allied Victory,United Nations Charter,Joseph Stalin,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Asia,Barbarossa,Poland,Allies,Support,1069.75,818.14,134.52,Asia,Allied Victory,Tehran Conference,Franklin D. Roosevelt,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,European,El Alamein,Soviet Union,Allies,Expeditionary,1428.91,650.96,4034.15,European,Allied Victory,Potsdam Conference,Franklin D. Roosevelt,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,North Africa,Okinawa,United States,Allies,Air,194.8,585.62,3480.94,North Africa,Allied Victory,United Nations Charter,Winston Churchill,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,European,Stalingrad,Poland,Allies,Belligerent,1188.12,88.51,2430.24,European,Allied Victory,Tehran Conference,Joseph Stalin,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1946,Atlantic,Iwo Jima,China,Allies,Expeditionary,1147.63,352.58,4852.7,Atlantic,Allied Victory,Yalta Conference,Winston Churchill,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,Asia,Okinawa,China,Allies,Belligerent,236.47,636.5,3275.04,Asia,Allied Victory,Yalta Conference,Hideki Tojo,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,Pacific,Iwo Jima,Japan,Axis,Naval,1385.07,4.71,430.28,Pacific,Allied Victory,Yalta Conference,Joseph Stalin,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,Atlantic,D-Day,Italy,Axis,Naval,372.84,801.95,2853.46,Atlantic,Allied Victory,Yalta Conference,Franklin D. Roosevelt,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,Eastern Front,Barbarossa,Soviet Union,Allies,Belligerent,896.5,954.36,1535.9,Eastern Front,Allied Victory,Tehran Conference,Charles de Gaulle,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,Eastern Front,D-Day,Soviet Union,Allies,Support,733.22,388.59,740.31,Eastern Front,Allied Victory,Yalta Conference,Winston Churchill,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,Atlantic,Stalingrad,China,Allies,Air,892.93,923.03,2204.24,Atlantic,Allied Victory,Tehran Conference,Charles de Gaulle,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1946,North Africa,Stalingrad,Japan,Axis,Naval,408.15,301.27,4165.42,North Africa,Allied Victory,Tehran Conference,Adolf Hitler,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,North Africa,Midway,China,Allies,Naval,1234.52,291.35,1854.92,North Africa,Allied Victory,Yalta Conference,Winston Churchill,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,Atlantic,El Alamein,United Kingdom,Allies,Expeditionary,637.33,1135.05,2023.63,Atlantic,Allied Victory,United Nations Charter,Charles de Gaulle,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,Asia,Midway,Poland,Allies,Air,971.46,306.87,2566.32,Asia,Allied Victory,Yalta Conference,Winston Churchill,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,Pacific,El Alamein,Germany,Axis,Expeditionary,765.21,511.52,991.91,Pacific,Allied Victory,Armistice,Joseph Stalin,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,Pacific,Stalingrad,Canada,Allies,Air,588.84,933.35,1355.65,Pacific,Allied Victory,United Nations Charter,Franklin D. Roosevelt,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,North Africa,Battle of Britain,Poland,Allies,Air,1172.81,702.62,1630.42,North Africa,Allied Victory,Armistice,Hideki Tojo,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,Pacific,Okinawa,Japan,Axis,Air,14.18,844.35,4090.17,Pacific,Allied Victory,United Nations Charter,Charles de Gaulle,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,European,Barbarossa,China,Allies,Expeditionary,1207.48,89.51,1949.44,European,Allied Victory,Potsdam Conference,Franklin D. Roosevelt,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,Pacific,Midway,Italy,Axis,Support,652.95,169.06,244.44,Pacific,Allied Victory,Potsdam Conference,Adolf Hitler,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1946,Eastern Front,Okinawa,Poland,Allies,Expeditionary,1093.77,246.64,1303.06,Eastern Front,Allied Victory,Yalta Conference,Joseph Stalin,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,Atlantic,D-Day,Italy,Axis,Air,981.91,1194.62,2017.06,Atlantic,Allied Victory,Potsdam Conference,Charles de Gaulle,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,Pacific,Battle of Britain,United Kingdom,Allies,Expeditionary,709.02,365.34,1675.14,Pacific,Allied Victory,United Nations Charter,Adolf Hitler,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,Asia,Barbarossa,United Kingdom,Allies,Naval,318.79,55.71,854.35,Asia,Allied Victory,Tehran Conference,Joseph Stalin,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,North Africa,Stalingrad,United Kingdom,Allies,Belligerent,1493.43,1.19,231.19,North Africa,Allied Victory,Yalta Conference,Hideki Tojo,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,European,Okinawa,United States,Allies,Support,372.23,569.54,1635.11,European,Allied Victory,Tehran Conference,Winston Churchill,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1946,Pacific,Iwo Jima,United Kingdom,Allies,Belligerent,1301.16,797.67,2985.44,Pacific,Allied Victory,Yalta Conference,Winston Churchill,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,Asia,Midway,United Kingdom,Allies,Air,729.32,1012.63,1643.08,Asia,Allied Victory,Armistice,Hideki Tojo,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Pacific,D-Day,United Kingdom,Allies,Air,1375.88,177.68,979.45,Pacific,Allied Victory,United Nations Charter,Joseph Stalin,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1946,European,Battle of Britain,China,Allies,Naval,1436.46,268.36,4814.93,European,Allied Victory,Tehran Conference,Charles de Gaulle,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,North Africa,Okinawa,United States,Allies,Expeditionary,216.86,408.14,2713.07,North Africa,Allied Victory,Yalta Conference,Joseph Stalin,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Pacific,Barbarossa,France,Allies,Support,10.44,994.77,513.67,Pacific,Allied Victory,United Nations Charter,Charles de Gaulle,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,Asia,El Alamein,Japan,Axis,Naval,542.51,130.53,1724.5,Asia,Allied Victory,United Nations Charter,Winston Churchill,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,North Africa,Iwo Jima,Italy,Axis,Support,797.28,171.15,177.04,North Africa,Allied Victory,Armistice,Winston Churchill,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,Atlantic,Barbarossa,Japan,Axis,Belligerent,415.4,1101.3,452.63,Atlantic,Allied Victory,Potsdam Conference,Hideki Tojo,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,European,Stalingrad,Poland,Allies,Expeditionary,982.81,443.26,2500.75,European,Allied Victory,United Nations Charter,Adolf Hitler,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1946,Eastern Front,D-Day,Germany,Axis,Support,717.11,584.4,4779.36,Eastern Front,Allied Victory,United Nations Charter,Joseph Stalin,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1946,European,Barbarossa,Germany,Axis,Belligerent,305.31,582.07,541.93,European,Allied Victory,Tehran Conference,Winston Churchill,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,North Africa,D-Day,Poland,Allies,Naval,441.53,135.72,429.75,North Africa,Allied Victory,Potsdam Conference,Joseph Stalin,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,Pacific,Barbarossa,China,Allies,Belligerent,1269.65,526.78,125.59,Pacific,Allied Victory,Yalta Conference,Winston Churchill,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1945,North Africa,Iwo Jima,Japan,Axis,Naval,1237.29,795.05,1114.02,North Africa,Allied Victory,Tehran Conference,Hideki Tojo,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1946,Pacific,Okinawa,Poland,Allies,Support,115.61,877.19,3285.19,Pacific,Allied Victory,Tehran Conference,Charles de Gaulle,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,North Africa,Iwo Jima,Germany,Axis,Expeditionary,1069.4,168.67,4099.72,North Africa,Allied Victory,United Nations Charter,Winston Churchill,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Eastern Front,El Alamein,Soviet Union,Allies,Support,2.37,1036.38,3851.81,Eastern Front,Allied Victory,Armistice,Joseph Stalin,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1946,Asia,Okinawa,Canada,Allies,Support,1028.2,629.92,2198.12,Asia,Allied Victory,Tehran Conference,Joseph Stalin,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1946,North Africa,El Alamein,United Kingdom,Allies,Air,712.93,727.33,2200.29,North Africa,Allied Victory,Potsdam Conference,Hideki Tojo,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,Eastern Front,Okinawa,Japan,Axis,Air,10.66,668.13,3212.06,Eastern Front,Allied Victory,Potsdam Conference,Joseph Stalin,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,Atlantic,Stalingrad,Soviet Union,Allies,Support,728.2,419.79,4373.19,Atlantic,Allied Victory,Potsdam Conference,Charles de Gaulle,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,Eastern Front,Stalingrad,United Kingdom,Allies,Expeditionary,723.32,358.67,4188.88,Eastern Front,Allied Victory,United Nations Charter,Adolf Hitler,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,Eastern Front,Iwo Jima,United States,Allies,Support,158.98,908.29,2385.69,Eastern Front,Allied Victory,United Nations Charter,Franklin D. Roosevelt,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,North Africa,Midway,Canada,Allies,Expeditionary,1072.02,360.16,4600.32,North Africa,Allied Victory,Tehran Conference,Hideki Tojo,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,Eastern Front,El Alamein,China,Allies,Belligerent,1335.39,462.83,718.08,Eastern Front,Allied Victory,Tehran Conference,Charles de Gaulle,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1946,North Africa,D-Day,Japan,Axis,Support,907.79,897.02,460.34,North Africa,Allied Victory,Armistice,Franklin D. Roosevelt,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,Pacific,El Alamein,Japan,Axis,Expeditionary,238.65,889.18,4378.29,Pacific,Allied Victory,Tehran Conference,Hideki Tojo,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1945,Eastern Front,D-Day,Poland,Allies,Expeditionary,641.94,79.48,2568.37,Eastern Front,Allied Victory,United Nations Charter,Charles de Gaulle,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1946,European,Battle of Britain,Soviet Union,Allies,Naval,192.0,72.82,2053.51,European,Allied Victory,Tehran Conference,Franklin D. Roosevelt,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1941,1946,Atlantic,El Alamein,China,Allies,Support,1152.73,988.47,3375.02,Atlantic,Allied Victory,Yalta Conference,Adolf Hitler,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,Pacific,Stalingrad,France,Allies,Belligerent,1121.75,212.55,4586.94,Pacific,Allied Victory,Armistice,Franklin D. Roosevelt,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Atlantic,Okinawa,Japan,Axis,Belligerent,602.13,625.64,1977.43,Atlantic,Allied Victory,Yalta Conference,Winston Churchill,Armored Warfare,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,European,Iwo Jima,Canada,Allies,Support,1172.53,684.7,3229.37,European,Allied Victory,Armistice,Franklin D. Roosevelt,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,North Africa,Iwo Jima,Germany,Axis,Naval,853.53,1180.56,1831.2,North Africa,Allied Victory,United Nations Charter,Hideki Tojo,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1946,European,Barbarossa,China,Allies,Air,976.97,140.93,3544.49,European,Allied Victory,United Nations Charter,Charles de Gaulle,Infantry,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Eastern Front,Barbarossa,China,Allies,Expeditionary,1117.71,481.41,3601.77,Eastern Front,Allied Victory,Armistice,Winston Churchill,Submarines,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1942,1946,Eastern Front,Stalingrad,Italy,Axis,Expeditionary,1478.78,878.85,3423.59,Eastern Front,Allied Victory,Yalta Conference,Hideki Tojo,Aircraft Carriers,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1940,1945,Asia,Barbarossa,Canada,Allies,Belligerent,51.89,802.4,2191.87,Asia,Allied Victory,Tehran Conference,Joseph Stalin,Strategic Bombing,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
World War II,1939,1945,Asia,Iwo Jima,China,Allies,Belligerent,103.49,863.47,4551.1,Asia,Allied Victory,United Nations Charter,Hideki Tojo,Radar,Allied victory; Axis powers defeated; UN formed; post-war reconstruction
