issue_label,year,region,primary_parties,escalation_level,nuclear_risk,cyber_domain,economic_impact,probability_estimate,risk_index,risk_tier,archetype,anomaly_flag,predicted_tier
Israel-Arab Tensions,2025,Latin America,China; Taiwan,Low,Low,Low,Energy price spike,0.722,27.6,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,Eastern Europe,India; Pakistan,Severe,Low,Moderate,Regional recession,0.185,49.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2025,East Asia,India; Pakistan,Low,Low,High,Energy price spike,0.643,37.9,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Israel-Arab Tensions,2025,Middle East,Russia; Ukraine,Severe,None,Severe,Energy price spike,0.762,57.6,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2026,East Asia,India; Pakistan,High,Low,High,Localized shock,0.674,52.5,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2025,Eastern Europe,Venezuela; United States,Low,High,High,Energy price spike,0.459,58.1,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2025,Latin America,China; Taiwan,Severe,High,Low,Regional recession,0.07,65.3,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2026,Middle East,India; Pakistan,Moderate,Low,Moderate,Energy price spike,0.659,38.2,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2025,Middle East,Venezuela; United States,Severe,Low,Low,Global market impact,0.262,48.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2024,Latin America,Russia; Ukraine,Severe,None,High,Regional recession,0.702,53.0,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2024,Middle East,North Korea; South Korea,Severe,Low,Low,Localized shock,0.498,43.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2025,South Asia,Russia; Ukraine,Severe,High,Low,Regional recession,0.639,75.3,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Israel-Arab Tensions,2026,East Asia,India; Pakistan,Moderate,Moderate,Severe,Regional recession,0.079,53.8,🟠 High,Direct Confrontation,1,🟠 High
Israel-Arab Tensions,2026,Eastern Europe,Russia; Ukraine,Severe,None,Low,Energy price spike,0.429,34.1,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2024,South Asia,India; Pakistan,Severe,High,Severe,Energy price spike,0.755,92.6,🔴 Critical,Proxy War,-1,🔴 Critical
Taiwan Strait Stability,2026,Middle East,North Korea; South Korea,Low,Low,Moderate,Regional recession,0.071,24.3,🟢 Low,Direct Confrontation,1,🟢 Low
India-Pakistan Escalation 2025,2026,Latin America,North Korea; South Korea,Severe,Moderate,Severe,Energy price spike,0.094,69.3,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2025,South Asia,Russia; Ukraine,High,Moderate,High,Regional recession,0.495,66.9,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,Low,Localized shock,0.517,20.5,🟢 Low,Cyber-Dominant,1,🟢 Low
Taiwan Strait Stability,2024,South Asia,India; Pakistan,Severe,High,Moderate,Energy price spike,0.733,80.5,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Venezuela-US Tensions 2026,2026,South Asia,Russia; Ukraine,Severe,None,Moderate,Energy price spike,0.014,32.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2024,South Asia,India; Pakistan,Severe,Moderate,Low,Localized shock,0.364,52.9,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Severe,Localized shock,0.377,29.7,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2026,South Asia,North Korea; South Korea,Low,Moderate,Severe,Energy price spike,0.107,46.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,East Asia,Venezuela; United States,Moderate,None,High,Global market impact,0.163,29.5,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2026,East Asia,North Korea; South Korea,Low,None,Low,Localized shock,0.817,14.0,🟢 Low,Cyber-Dominant,-1,🟢 Low
Israel-Arab Tensions,2025,Latin America,China; Taiwan,Moderate,Moderate,Low,Global market impact,0.738,51.3,🟠 High,Cyber-Dominant,1,🟠 High
Venezuela-US Tensions 2026,2026,East Asia,China; Taiwan,Low,High,Moderate,Global market impact,0.581,60.3,🟠 High,Cyber-Dominant,1,🟠 High
Israel-Arab Tensions,2026,Latin America,Venezuela; United States,Low,Moderate,Moderate,Regional recession,0.15,37.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,South Asia,China; Taiwan,Moderate,Moderate,Moderate,Global market impact,0.776,57.8,🟠 High,Cyber-Dominant,1,🟠 High
Venezuela-US Tensions 2026,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,Severe,Energy price spike,0.591,42.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2024,Latin America,Russia; Ukraine,Severe,High,Low,Global market impact,0.541,77.1,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Israel-Arab Tensions,2026,Latin America,North Korea; South Korea,High,High,Low,Regional recession,0.168,61.2,🟠 High,Nuclear Standoff,1,🟠 High
India-Pakistan Escalation 2025,2025,East Asia,Venezuela; United States,Severe,High,Severe,Global market impact,0.173,88.2,🔴 Critical,Proxy War,-1,🔴 Critical
Korean Peninsula Risk,2026,Latin America,China; Taiwan,Low,Low,Moderate,Regional recession,0.55,32.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2024,Latin America,North Korea; South Korea,Severe,Moderate,Moderate,Global market impact,0.802,75.8,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Korean Peninsula Risk,2024,South Asia,Venezuela; United States,Low,High,Low,Global market impact,0.523,53.4,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2025,Eastern Europe,North Korea; South Korea,Severe,Low,High,Energy price spike,0.372,56.6,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2024,South Asia,China; Taiwan,Severe,Low,Severe,Localized shock,0.272,57.2,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2024,Middle East,China; Taiwan,Moderate,Low,Moderate,Energy price spike,0.593,37.0,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2024,Latin America,Venezuela; United States,Severe,High,Moderate,Energy price spike,0.439,75.3,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Russia-Ukraine Conflict,2026,East Asia,North Korea; South Korea,Severe,None,Severe,Regional recession,0.758,59.8,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2026,East Asia,Venezuela; United States,Severe,High,High,Energy price spike,0.431,81.0,🔴 Critical,Proxy War,1,🔴 Critical
India-Pakistan Escalation 2025,2024,East Asia,North Korea; South Korea,Low,Low,High,Energy price spike,0.64,37.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,East Asia,North Korea; South Korea,High,High,Low,Regional recession,0.092,59.9,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2026,South Asia,North Korea; South Korea,High,Low,High,Regional recession,0.242,50.8,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2024,Middle East,India; Pakistan,Moderate,Low,Moderate,Localized shock,0.612,33.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Israel-Arab Tensions,2024,Middle East,North Korea; South Korea,High,Moderate,Moderate,Localized shock,0.256,51.0,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2026,Latin America,Venezuela; United States,Moderate,Low,High,Regional recession,0.028,35.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,Eastern Europe,China; Taiwan,High,Low,Moderate,Energy price spike,0.468,46.5,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,South Asia,China; Taiwan,Low,None,Moderate,Localized shock,0.724,18.2,🟢 Low,Cyber-Dominant,1,🟢 Low
Taiwan Strait Stability,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Moderate,Regional recession,0.703,29.6,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,East Asia,North Korea; South Korea,Moderate,High,Severe,Energy price spike,0.702,74.1,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2026,East Asia,North Korea; South Korea,Severe,None,Low,Energy price spike,0.581,36.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,Middle East,India; Pakistan,Severe,Low,Low,Global market impact,0.834,58.8,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2025,Middle East,Venezuela; United States,Moderate,Low,Moderate,Localized shock,0.361,29.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Russia-Ukraine Conflict,2024,Middle East,Russia; Ukraine,High,High,High,Localized shock,0.27,68.8,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2025,East Asia,North Korea; South Korea,High,None,Moderate,Localized shock,0.118,25.2,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2025,Eastern Europe,China; Taiwan,Moderate,High,High,Energy price spike,0.526,65.1,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2024,Latin America,Russia; Ukraine,Moderate,High,Moderate,Localized shock,0.378,53.2,🟠 High,Direct Confrontation,1,🟠 High
Russia-Ukraine Conflict,2026,Latin America,Russia; Ukraine,Low,None,Severe,Regional recession,0.773,36.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2025,Eastern Europe,Venezuela; United States,Severe,None,Moderate,Localized shock,0.724,41.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,Eastern Europe,India; Pakistan,High,Low,High,Energy price spike,0.412,51.4,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2026,Latin America,Venezuela; United States,Severe,High,Low,Localized shock,0.331,64.0,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2024,East Asia,India; Pakistan,High,High,High,Global market impact,0.641,84.7,🔴 Critical,Proxy War,1,🔴 Critical
Russia-Ukraine Conflict,2024,Eastern Europe,Venezuela; United States,Low,High,Severe,Global market impact,0.583,72.0,🟠 High,Cyber-Dominant,1,🟠 High
Israel-Arab Tensions,2026,Middle East,China; Taiwan,Moderate,Moderate,Severe,Regional recession,0.665,64.1,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2024,Latin America,China; Taiwan,Severe,Moderate,Severe,Energy price spike,0.566,77.6,🔴 Critical,Proxy War,1,🔴 Critical
Taiwan Strait Stability,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,Moderate,Localized shock,0.345,35.0,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,Severe,Energy price spike,0.356,50.4,🟠 High,Direct Confrontation,1,🟠 High
Israel-Arab Tensions,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,None,High,Energy price spike,0.632,26.0,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2026,Latin America,North Korea; South Korea,Low,Moderate,Moderate,Regional recession,0.238,39.0,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Russia-Ukraine Conflict,2026,South Asia,North Korea; South Korea,Severe,High,Severe,Localized shock,0.013,76.0,🔴 Critical,Proxy War,-1,🔴 Critical
Korean Peninsula Risk,2025,Middle East,Venezuela; United States,Moderate,None,Severe,Global market impact,0.393,39.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,East Asia,Venezuela; United States,Moderate,Moderate,Moderate,Energy price spike,0.678,50.2,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2024,Eastern Europe,North Korea; South Korea,High,Moderate,High,Regional recession,0.374,64.8,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2026,East Asia,Russia; Ukraine,High,Low,High,Energy price spike,0.801,58.3,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2025,South Asia,North Korea; South Korea,Low,Low,Severe,Localized shock,0.175,32.0,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2024,South Asia,India; Pakistan,Low,Low,High,Energy price spike,0.716,39.2,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Latin America,Venezuela; United States,Low,Low,Severe,Global market impact,0.521,47.5,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2024,South Asia,China; Taiwan,Low,None,Low,Global market impact,0.073,10.3,🟢 Low,Direct Confrontation,-1,🟢 Low
Taiwan Strait Stability,2024,East Asia,India; Pakistan,Severe,Low,High,Global market impact,0.737,68.9,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Severe,Energy price spike,0.545,36.2,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2024,East Asia,Venezuela; United States,Moderate,None,High,Energy price spike,0.037,21.4,🟢 Low,Direct Confrontation,1,🟢 Low
Taiwan Strait Stability,2025,Eastern Europe,Venezuela; United States,Low,None,Severe,Localized shock,0.163,20.1,🟢 Low,Direct Confrontation,1,🟢 Low
Taiwan Strait Stability,2024,East Asia,Venezuela; United States,Moderate,High,Severe,Regional recession,0.317,69.7,🟠 High,Direct Confrontation,1,🟠 High
Korean Peninsula Risk,2025,Middle East,Venezuela; United States,Severe,Moderate,High,Global market impact,0.056,68.6,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,High,High,Severe,Global market impact,0.788,93.2,🔴 Critical,Proxy War,-1,🔴 Critical
India-Pakistan Escalation 2025,2025,Middle East,Venezuela; United States,Low,High,Low,Regional recession,0.305,46.0,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2026,Middle East,China; Taiwan,High,None,Moderate,Global market impact,0.519,41.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Severe,High,Severe,Energy price spike,0.717,91.9,🔴 Critical,Proxy War,1,🔴 Critical
India-Pakistan Escalation 2025,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,Moderate,Global market impact,0.316,61.4,🟠 High,Direct Confrontation,1,🟠 High
Korean Peninsula Risk,2024,South Asia,India; Pakistan,Moderate,High,High,Global market impact,0.523,71.0,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2025,Latin America,India; Pakistan,Severe,None,Moderate,Regional recession,0.612,45.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2025,Middle East,Venezuela; United States,High,Moderate,Moderate,Localized shock,0.587,56.8,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2024,Eastern Europe,India; Pakistan,High,Moderate,High,Localized shock,0.213,56.1,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2026,Latin America,Russia; Ukraine,Moderate,High,Severe,Energy price spike,0.132,64.1,🟠 High,Direct Confrontation,1,🟠 High
Taiwan Strait Stability,2026,Middle East,China; Taiwan,Low,Low,Low,Localized shock,0.4,18.4,🟢 Low,Direct Confrontation,1,🟢 Low
Korean Peninsula Risk,2025,East Asia,North Korea; South Korea,Severe,Low,Moderate,Regional recession,0.765,60.0,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2024,Latin America,North Korea; South Korea,Severe,Moderate,Low,Regional recession,0.818,66.8,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2025,Middle East,North Korea; South Korea,High,Low,Moderate,Regional recession,0.227,44.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Middle East,Venezuela; United States,Moderate,High,Moderate,Energy price spike,0.647,61.4,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Low,Energy price spike,0.224,7.1,🟢 Low,Direct Confrontation,1,🟢 Low
Korean Peninsula Risk,2025,South Asia,India; Pakistan,Severe,Low,Moderate,Localized shock,0.269,45.4,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,High,Energy price spike,0.387,33.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,High,Low,Low,Regional recession,0.502,43.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,Latin America,China; Taiwan,Moderate,High,Severe,Global market impact,0.492,76.3,🔴 Critical,Cyber-Dominant,1,🔴 Critical
Russia-Ukraine Conflict,2025,South Asia,India; Pakistan,Severe,Moderate,Low,Regional recession,0.722,65.1,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2026,Eastern Europe,China; Taiwan,High,Moderate,Moderate,Localized shock,0.452,54.5,🟠 High,Nuclear Standoff,1,🟠 High
India-Pakistan Escalation 2025,2026,Eastern Europe,China; Taiwan,High,Moderate,High,Global market impact,0.718,74.4,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2026,Latin America,India; Pakistan,Low,Low,High,Localized shock,0.323,28.8,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2026,Latin America,Venezuela; United States,Low,None,Moderate,Regional recession,0.624,22.3,🟢 Low,Cyber-Dominant,1,🟢 Low
Korean Peninsula Risk,2025,East Asia,Russia; Ukraine,High,None,High,Global market impact,0.014,38.6,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Low,Energy price spike,0.092,4.8,🟢 Low,Direct Confrontation,-1,🟢 Low
Russia-Ukraine Conflict,2025,Eastern Europe,India; Pakistan,Low,High,High,Energy price spike,0.151,52.7,🟠 High,Direct Confrontation,1,🟠 High
Russia-Ukraine Conflict,2026,Eastern Europe,Venezuela; United States,High,None,Moderate,Regional recession,0.033,29.5,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,High,Low,Global market impact,0.383,50.9,🟠 High,Direct Confrontation,1,🟠 High
Taiwan Strait Stability,2026,Latin America,China; Taiwan,Low,Low,High,Energy price spike,0.462,34.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2024,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Low,High,High,Global market impact,0.762,69.3,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2026,Eastern Europe,China; Taiwan,High,Low,Severe,Localized shock,0.251,50.9,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2024,Latin America,Russia; Ukraine,High,None,Severe,Regional recession,0.438,48.4,🟡 Moderate,Proxy War,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Eastern Europe,Venezuela; United States,High,Low,High,Regional recession,0.55,56.2,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2024,Eastern Europe,India; Pakistan,High,None,Moderate,Energy price spike,0.75,39.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2026,East Asia,India; Pakistan,Moderate,None,Moderate,Localized shock,0.362,17.7,🟢 Low,Direct Confrontation,1,🟢 Low
Korean Peninsula Risk,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,High,Regional recession,0.285,33.9,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,High,Low,Low,Energy price spike,0.048,33.3,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2025,Eastern Europe,North Korea; South Korea,Moderate,Low,Severe,Global market impact,0.103,46.0,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2024,Eastern Europe,India; Pakistan,Severe,Low,High,Localized shock,0.283,51.5,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2026,South Asia,Venezuela; United States,Low,High,High,Regional recession,0.455,60.4,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2024,Eastern Europe,North Korea; South Korea,Moderate,Low,High,Global market impact,0.61,49.0,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Israel-Arab Tensions,2025,East Asia,Venezuela; United States,High,Moderate,High,Energy price spike,0.071,57.1,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2024,Eastern Europe,Venezuela; United States,Severe,Low,Moderate,Energy price spike,0.568,54.2,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Severe,Moderate,Moderate,Energy price spike,0.822,70.3,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2025,Eastern Europe,China; Taiwan,Severe,Low,Moderate,Energy price spike,0.098,45.9,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2024,South Asia,China; Taiwan,Low,Low,High,Energy price spike,0.237,30.8,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
