issue_label,year,region,primary_parties,escalation_level,nuclear_risk,cyber_domain,economic_impact,confidence,probability_estimate,escalation_score,nuclear_score,cyber_score,prob_score,economic_score,raw_risk_score,risk_index,risk_tier,anomaly_flag,anomaly_score,predicted_tier_num,predicted_tier,cluster,archetype
India-Pakistan Escalation 2025,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Low,Global market impact,Medium,0.445,5,0,5,6.68,10,26.68,16.9,🟢 Low,1,-0.5687853551422689,0,🟢 Low,1,Direct Confrontation
Russia-Ukraine Conflict,2025,East Asia,Russia; Ukraine,Low,Low,High,Global market impact,Low,0.772,5,10,15,11.58,10,51.58,46.0,🟡 Moderate,1,-0.5355042521615806,1,🟡 Moderate,2,Cyber-Dominant
Israel-Arab Tensions,2024,Middle East,Russia; Ukraine,Moderate,High,Severe,Energy price spike,Medium,0.737,10,30,20,11.06,5,76.06,74.7,🟠 High,1,-0.554767307851154,2,🟠 High,2,Cyber-Dominant
Korean Peninsula Risk,2024,South Asia,China; Taiwan,Severe,None,Low,Regional recession,High,0.593,25,0,5,8.9,7,45.9,39.4,🟡 Moderate,1,-0.5492866772236369,1,🟡 Moderate,3,Nuclear Standoff
Russia-Ukraine Conflict,2024,South Asia,North Korea; South Korea,Low,High,Severe,Localized shock,High,0.764,5,30,20,11.46,2,68.46,65.8,🟠 High,-1,-0.5906440976952877,2,🟠 High,2,Cyber-Dominant
India-Pakistan Escalation 2025,2024,Eastern Europe,China; Taiwan,Low,None,Low,Regional recession,High,0.569,5,0,5,8.54,7,25.54,15.5,🟢 Low,1,-0.5535839912927322,0,🟢 Low,2,Cyber-Dominant
Venezuela-US Tensions 2026,2025,Eastern Europe,China; Taiwan,Low,High,Low,Regional recession,High,0.619,5,30,5,9.28,7,56.28,51.5,🟠 High,1,-0.5428863182545405,2,🟠 High,2,Cyber-Dominant
Israel-Arab Tensions,2025,Latin America,China; Taiwan,Low,Low,Low,Energy price spike,Medium,0.722,5,10,5,10.83,5,35.83,27.6,🟡 Moderate,1,-0.542630781396603,1,🟡 Moderate,2,Cyber-Dominant
Venezuela-US Tensions 2026,2025,Eastern Europe,India; Pakistan,Severe,Low,Moderate,Regional recession,Low,0.185,25,10,10,2.78,7,54.78,49.8,🟡 Moderate,1,-0.49785920494762653,1,🟡 Moderate,3,Nuclear Standoff
Israel-Arab Tensions,2025,East Asia,India; Pakistan,Low,Low,High,Energy price spike,High,0.643,5,10,15,9.64,5,44.64,37.9,🟡 Moderate,1,-0.5036816051909452,1,🟡 Moderate,2,Cyber-Dominant
Israel-Arab Tensions,2025,Middle East,Russia; Ukraine,Severe,None,Severe,Energy price spike,High,0.762,25,0,20,11.43,5,61.43,57.6,🟠 High,1,-0.5620995572161062,2,🟠 High,0,Proxy War
Russia-Ukraine Conflict,2026,East Asia,India; Pakistan,High,Low,High,Localized shock,Low,0.674,20,10,15,10.11,2,57.11,52.5,🟠 High,1,-0.5235101945842158,2,🟠 High,0,Proxy War
Israel-Arab Tensions,2025,Eastern Europe,Venezuela; United States,Low,High,High,Energy price spike,High,0.459,5,30,15,6.89,5,61.89,58.1,🟠 High,1,-0.508310688482778,2,🟠 High,2,Cyber-Dominant
Korean Peninsula Risk,2025,Latin America,China; Taiwan,Severe,High,Low,Regional recession,High,0.07,25,30,5,1.05,7,68.05,65.3,🟠 High,1,-0.5587352165397518,2,🟠 High,3,Nuclear Standoff
Venezuela-US Tensions 2026,2026,Middle East,India; Pakistan,Moderate,Low,Moderate,Energy price spike,Low,0.659,10,10,10,9.88,5,44.88,38.2,🟡 Moderate,1,-0.4861736750768598,1,🟡 Moderate,2,Cyber-Dominant
Taiwan Strait Stability,2025,Middle East,Venezuela; United States,Severe,Low,Low,Global market impact,High,0.262,25,10,5,3.93,10,53.93,48.8,🟡 Moderate,1,-0.552024012088414,1,🟡 Moderate,3,Nuclear Standoff
Israel-Arab Tensions,2024,Latin America,Russia; Ukraine,Severe,None,High,Regional recession,Low,0.702,25,0,15,10.53,7,57.53,53.0,🟠 High,1,-0.5365158104394419,2,🟠 High,0,Proxy War
India-Pakistan Escalation 2025,2024,Middle East,North Korea; South Korea,Severe,Low,Low,Localized shock,High,0.498,25,10,5,7.47,2,49.47,43.6,🟡 Moderate,1,-0.549463959675621,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2025,South Asia,Russia; Ukraine,Severe,High,Low,Regional recession,Low,0.639,25,30,5,9.59,7,76.59,75.3,🔴 Critical,1,-0.5479951908211407,3,🔴 Critical,3,Nuclear Standoff
Israel-Arab Tensions,2026,East Asia,India; Pakistan,Moderate,Moderate,Severe,Regional recession,High,0.079,10,20,20,1.18,7,58.18,53.8,🟠 High,1,-0.5287134158185726,2,🟠 High,1,Direct Confrontation
Israel-Arab Tensions,2026,Eastern Europe,Russia; Ukraine,Severe,None,Low,Energy price spike,Low,0.429,25,0,5,6.44,5,41.44,34.1,🟡 Moderate,1,-0.5495765163987978,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2024,South Asia,India; Pakistan,Severe,High,Severe,Energy price spike,High,0.755,25,30,20,11.32,5,91.32,92.6,🔴 Critical,-1,-0.5982355872274344,3,🔴 Critical,0,Proxy War
Taiwan Strait Stability,2026,Middle East,North Korea; South Korea,Low,Low,Moderate,Regional recession,Low,0.071,5,10,10,1.06,7,33.06,24.3,🟢 Low,1,-0.5286327002240011,0,🟢 Low,1,Direct Confrontation
India-Pakistan Escalation 2025,2026,Latin America,North Korea; South Korea,Severe,Moderate,Severe,Energy price spike,Low,0.094,25,20,20,1.41,5,71.41,69.3,🟠 High,1,-0.5370059145472409,2,🟠 High,0,Proxy War
India-Pakistan Escalation 2025,2025,South Asia,Russia; Ukraine,High,Moderate,High,Regional recession,Low,0.495,20,20,15,7.42,7,69.42,66.9,🟠 High,1,-0.4849463032540297,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,Low,Localized shock,Low,0.517,5,10,5,7.76,2,29.76,20.5,🟢 Low,1,-0.560992905296611,0,🟢 Low,2,Cyber-Dominant
Taiwan Strait Stability,2024,South Asia,India; Pakistan,Severe,High,Moderate,Energy price spike,Low,0.733,25,30,10,11.0,5,81.0,80.5,🔴 Critical,1,-0.551694900345585,3,🔴 Critical,3,Nuclear Standoff
Venezuela-US Tensions 2026,2026,South Asia,Russia; Ukraine,Severe,None,Moderate,Energy price spike,Medium,0.014,25,0,10,0.21,5,40.21,32.7,🟡 Moderate,1,-0.5774861091158167,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2024,South Asia,India; Pakistan,Severe,Moderate,Low,Localized shock,Low,0.364,25,20,5,5.46,2,57.46,52.9,🟠 High,1,-0.555311149292697,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Severe,Localized shock,Low,0.377,10,0,20,5.66,2,37.66,29.7,🟡 Moderate,1,-0.5589870117786009,1,🟡 Moderate,1,Direct Confrontation
Korean Peninsula Risk,2026,South Asia,North Korea; South Korea,Low,Moderate,Severe,Energy price spike,High,0.107,5,20,20,1.6,5,51.6,46.1,🟡 Moderate,1,-0.5244047107275439,1,🟡 Moderate,1,Direct Confrontation
Venezuela-US Tensions 2026,2026,East Asia,Venezuela; United States,Moderate,None,High,Global market impact,Medium,0.163,10,0,15,2.45,10,37.45,29.5,🟡 Moderate,1,-0.5346662667879836,1,🟡 Moderate,1,Direct Confrontation
Israel-Arab Tensions,2026,East Asia,North Korea; South Korea,Low,None,Low,Localized shock,Low,0.817,5,0,5,12.26,2,24.26,14.0,🟢 Low,-1,-0.6019150676794764,0,🟢 Low,2,Cyber-Dominant
Israel-Arab Tensions,2025,Latin America,China; Taiwan,Moderate,Moderate,Low,Global market impact,High,0.738,10,20,5,11.07,10,56.07,51.3,🟠 High,1,-0.5463643289414666,2,🟠 High,2,Cyber-Dominant
Venezuela-US Tensions 2026,2026,East Asia,China; Taiwan,Low,High,Moderate,Global market impact,Medium,0.581,5,30,10,8.72,10,63.72,60.3,🟠 High,1,-0.5316817021197976,2,🟠 High,2,Cyber-Dominant
Israel-Arab Tensions,2026,Latin America,Venezuela; United States,Low,Moderate,Moderate,Regional recession,Low,0.15,5,20,10,2.25,7,44.25,37.4,🟡 Moderate,1,-0.5051390772194854,1,🟡 Moderate,1,Direct Confrontation
India-Pakistan Escalation 2025,2024,South Asia,China; Taiwan,Moderate,Moderate,Moderate,Global market impact,Low,0.776,10,20,10,11.64,10,61.64,57.8,🟠 High,1,-0.5320762755877911,2,🟠 High,2,Cyber-Dominant
Venezuela-US Tensions 2026,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,Severe,Energy price spike,Low,0.591,5,10,20,8.86,5,48.86,42.8,🟡 Moderate,1,-0.519757886298326,1,🟡 Moderate,2,Cyber-Dominant
Russia-Ukraine Conflict,2024,Latin America,Russia; Ukraine,Severe,High,Low,Global market impact,Low,0.541,25,30,5,8.12,10,78.12,77.1,🔴 Critical,1,-0.577503929711734,3,🔴 Critical,3,Nuclear Standoff
Israel-Arab Tensions,2026,Latin America,North Korea; South Korea,High,High,Low,Regional recession,High,0.168,20,30,5,2.52,7,64.52,61.2,🟠 High,1,-0.5307501551152273,2,🟠 High,3,Nuclear Standoff
India-Pakistan Escalation 2025,2025,East Asia,Venezuela; United States,Severe,High,Severe,Global market impact,Medium,0.173,25,30,20,2.6,10,87.6,88.2,🔴 Critical,-1,-0.5955174554329858,3,🔴 Critical,0,Proxy War
Korean Peninsula Risk,2026,Latin America,China; Taiwan,Low,Low,Moderate,Regional recession,Low,0.55,5,10,10,8.25,7,40.25,32.8,🟡 Moderate,1,-0.481690368489737,1,🟡 Moderate,2,Cyber-Dominant
Russia-Ukraine Conflict,2024,Latin America,North Korea; South Korea,Severe,Moderate,Moderate,Global market impact,Medium,0.802,25,20,10,12.03,10,77.03,75.8,🔴 Critical,1,-0.5638181652114989,3,🔴 Critical,3,Nuclear Standoff
Korean Peninsula Risk,2024,South Asia,Venezuela; United States,Low,High,Low,Global market impact,High,0.523,5,30,5,7.85,10,57.85,53.4,🟠 High,1,-0.5556906750984201,2,🟠 High,2,Cyber-Dominant
Korean Peninsula Risk,2025,Eastern Europe,North Korea; South Korea,Severe,Low,High,Energy price spike,High,0.372,25,10,15,5.58,5,60.58,56.6,🟠 High,1,-0.5050675554348657,2,🟠 High,0,Proxy War
Korean Peninsula Risk,2024,South Asia,China; Taiwan,Severe,Low,Severe,Localized shock,High,0.272,25,10,20,4.08,2,61.08,57.2,🟠 High,1,-0.5587331788044458,2,🟠 High,0,Proxy War
Russia-Ukraine Conflict,2024,Middle East,China; Taiwan,Moderate,Low,Moderate,Energy price spike,High,0.593,10,10,10,8.9,5,43.9,37.0,🟡 Moderate,1,-0.4826504817852751,1,🟡 Moderate,2,Cyber-Dominant
Korean Peninsula Risk,2024,Latin America,Venezuela; United States,Severe,High,Moderate,Energy price spike,Medium,0.439,25,30,10,6.58,5,76.58,75.3,🔴 Critical,1,-0.5234071408176834,3,🔴 Critical,3,Nuclear Standoff
Russia-Ukraine Conflict,2026,East Asia,North Korea; South Korea,Severe,None,Severe,Regional recession,High,0.758,25,0,20,11.37,7,63.37,59.8,🟠 High,1,-0.5631299135215674,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2026,East Asia,Venezuela; United States,Severe,High,High,Energy price spike,Medium,0.431,25,30,15,6.46,5,81.46,81.0,🔴 Critical,1,-0.5238585489826808,3,🔴 Critical,0,Proxy War
India-Pakistan Escalation 2025,2024,East Asia,North Korea; South Korea,Low,Low,High,Energy price spike,Low,0.64,5,10,15,9.6,5,44.6,37.8,🟡 Moderate,1,-0.5038436277781643,1,🟡 Moderate,2,Cyber-Dominant
India-Pakistan Escalation 2025,2024,East Asia,North Korea; South Korea,High,High,Low,Regional recession,Low,0.092,20,30,5,1.38,7,63.38,59.9,🟠 High,1,-0.5412830284397429,2,🟠 High,3,Nuclear Standoff
Russia-Ukraine Conflict,2026,South Asia,North Korea; South Korea,High,Low,High,Regional recession,Medium,0.242,20,10,15,3.63,7,55.63,50.8,🟠 High,1,-0.48342085770137816,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2024,Middle East,India; Pakistan,Moderate,Low,Moderate,Localized shock,Medium,0.612,10,10,10,9.18,2,41.18,33.8,🟡 Moderate,1,-0.5206579503468087,1,🟡 Moderate,2,Cyber-Dominant
Israel-Arab Tensions,2024,Middle East,North Korea; South Korea,High,Moderate,Moderate,Localized shock,High,0.256,20,20,10,3.84,2,55.84,51.0,🟠 High,1,-0.5214812341197143,2,🟠 High,3,Nuclear Standoff
Russia-Ukraine Conflict,2026,Latin America,Venezuela; United States,Moderate,Low,High,Regional recession,Medium,0.028,10,10,15,0.42,7,42.42,35.3,🟡 Moderate,1,-0.5225758701516554,1,🟡 Moderate,1,Direct Confrontation
India-Pakistan Escalation 2025,2024,Eastern Europe,China; Taiwan,High,Low,Moderate,Energy price spike,Medium,0.468,20,10,10,7.02,5,52.02,46.5,🟡 Moderate,1,-0.4792842331683303,1,🟡 Moderate,3,Nuclear Standoff
Venezuela-US Tensions 2026,2026,South Asia,China; Taiwan,Low,None,Moderate,Localized shock,High,0.724,5,0,10,10.86,2,27.86,18.2,🟢 Low,1,-0.5578574159868124,0,🟢 Low,2,Cyber-Dominant
Taiwan Strait Stability,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Moderate,Regional recession,High,0.703,10,0,10,10.54,7,37.54,29.6,🟡 Moderate,1,-0.5154313087265775,1,🟡 Moderate,2,Cyber-Dominant
India-Pakistan Escalation 2025,2026,East Asia,North Korea; South Korea,Moderate,High,Severe,Energy price spike,Medium,0.702,10,30,20,10.53,5,75.53,74.1,🟠 High,1,-0.5470866053370216,2,🟠 High,2,Cyber-Dominant
India-Pakistan Escalation 2025,2026,East Asia,North Korea; South Korea,Severe,None,Low,Energy price spike,Medium,0.581,25,0,5,8.72,5,43.72,36.8,🟡 Moderate,1,-0.5454663105186459,1,🟡 Moderate,3,Nuclear Standoff
Venezuela-US Tensions 2026,2025,Middle East,India; Pakistan,Severe,Low,Low,Global market impact,Low,0.834,25,10,5,12.51,10,62.51,58.8,🟠 High,1,-0.5757893273351447,2,🟠 High,3,Nuclear Standoff
Israel-Arab Tensions,2025,Middle East,Venezuela; United States,Moderate,Low,Moderate,Localized shock,Low,0.361,10,10,10,5.42,2,37.42,29.4,🟡 Moderate,1,-0.517529704413809,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2024,Middle East,Russia; Ukraine,High,High,High,Localized shock,High,0.27,20,30,15,4.05,2,71.05,68.8,🟠 High,1,-0.5429715717087793,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2025,East Asia,North Korea; South Korea,High,None,Moderate,Localized shock,Low,0.118,20,0,10,1.77,2,33.77,25.2,🟡 Moderate,1,-0.5678895455673185,1,🟡 Moderate,3,Nuclear Standoff
Korean Peninsula Risk,2025,Eastern Europe,China; Taiwan,Moderate,High,High,Energy price spike,High,0.526,10,30,15,7.89,5,67.89,65.1,🟠 High,1,-0.4960497163740538,2,🟠 High,2,Cyber-Dominant
Russia-Ukraine Conflict,2024,Latin America,Russia; Ukraine,Moderate,High,Moderate,Localized shock,Medium,0.378,10,30,10,5.67,2,57.67,53.2,🟠 High,1,-0.5241969584676273,2,🟠 High,1,Direct Confrontation
Russia-Ukraine Conflict,2026,Latin America,Russia; Ukraine,Low,None,Severe,Regional recession,Medium,0.773,5,0,20,11.6,7,43.6,36.7,🟡 Moderate,1,-0.559181348760705,1,🟡 Moderate,2,Cyber-Dominant
Russia-Ukraine Conflict,2025,Eastern Europe,Venezuela; United States,Severe,None,Moderate,Localized shock,Medium,0.724,25,0,10,10.86,2,47.86,41.7,🟡 Moderate,1,-0.563515045460207,1,🟡 Moderate,3,Nuclear Standoff
Venezuela-US Tensions 2026,2026,Eastern Europe,India; Pakistan,High,Low,High,Energy price spike,Medium,0.412,20,10,15,6.18,5,56.18,51.4,🟠 High,1,-0.48174503737052476,2,🟠 High,0,Proxy War
Israel-Arab Tensions,2026,Latin America,Venezuela; United States,Severe,High,Low,Localized shock,High,0.331,25,30,5,4.96,2,66.96,64.0,🟠 High,1,-0.5691832050663016,2,🟠 High,3,Nuclear Standoff
Venezuela-US Tensions 2026,2024,East Asia,India; Pakistan,High,High,High,Global market impact,Low,0.641,20,30,15,9.62,10,84.62,84.7,🔴 Critical,1,-0.5581524411749927,3,🔴 Critical,0,Proxy War
Russia-Ukraine Conflict,2024,Eastern Europe,Venezuela; United States,Low,High,Severe,Global market impact,Medium,0.583,5,30,20,8.74,10,73.74,72.0,🟠 High,1,-0.5601279609645374,2,🟠 High,2,Cyber-Dominant
Israel-Arab Tensions,2026,Middle East,China; Taiwan,Moderate,Moderate,Severe,Regional recession,Medium,0.665,10,20,20,9.98,7,66.98,64.1,🟠 High,1,-0.5154187809862298,2,🟠 High,2,Cyber-Dominant
Russia-Ukraine Conflict,2024,Latin America,China; Taiwan,Severe,Moderate,Severe,Energy price spike,Low,0.566,25,20,20,8.49,5,78.49,77.6,🔴 Critical,1,-0.5346715352166453,3,🔴 Critical,0,Proxy War
Taiwan Strait Stability,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,Moderate,Localized shock,Medium,0.345,5,20,10,5.18,2,42.18,35.0,🟡 Moderate,1,-0.5272739416557864,1,🟡 Moderate,1,Direct Confrontation
India-Pakistan Escalation 2025,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,Severe,Energy price spike,Low,0.356,5,20,20,5.34,5,55.34,50.4,🟠 High,1,-0.5183391857036248,2,🟠 High,1,Direct Confrontation
Israel-Arab Tensions,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,None,High,Energy price spike,High,0.632,5,0,15,9.48,5,34.48,26.0,🟡 Moderate,1,-0.5308078538319109,1,🟡 Moderate,2,Cyber-Dominant
Russia-Ukraine Conflict,2026,Latin America,North Korea; South Korea,Low,Moderate,Moderate,Regional recession,Low,0.238,5,20,10,3.57,7,45.57,39.0,🟡 Moderate,1,-0.4988770582691226,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2026,South Asia,North Korea; South Korea,Severe,High,Severe,Localized shock,Medium,0.013,25,30,20,0.19,2,77.19,76.0,🔴 Critical,-1,-0.6165796624152827,3,🔴 Critical,0,Proxy War
Korean Peninsula Risk,2025,Middle East,Venezuela; United States,Moderate,None,Severe,Global market impact,Medium,0.393,10,0,20,5.9,10,45.9,39.4,🟡 Moderate,1,-0.5408080384586056,1,🟡 Moderate,1,Direct Confrontation
India-Pakistan Escalation 2025,2026,East Asia,Venezuela; United States,Moderate,Moderate,Moderate,Energy price spike,High,0.678,10,20,10,10.17,5,55.17,50.2,🟠 High,1,-0.491284123576416,2,🟠 High,2,Cyber-Dominant
Russia-Ukraine Conflict,2024,Eastern Europe,North Korea; South Korea,High,Moderate,High,Regional recession,Medium,0.374,20,20,15,5.61,7,67.61,64.8,🟠 High,1,-0.4817282437355769,2,🟠 High,0,Proxy War
Venezuela-US Tensions 2026,2026,East Asia,Russia; Ukraine,High,Low,High,Energy price spike,High,0.801,20,10,15,12.02,5,62.02,58.3,🟠 High,1,-0.5229651051813093,2,🟠 High,0,Proxy War
Venezuela-US Tensions 2026,2025,South Asia,North Korea; South Korea,Low,Low,Severe,Localized shock,Low,0.175,5,10,20,2.62,2,39.62,32.0,🟡 Moderate,1,-0.5550992219300458,1,🟡 Moderate,1,Direct Confrontation
Israel-Arab Tensions,2024,South Asia,India; Pakistan,Low,Low,High,Energy price spike,Medium,0.716,5,10,15,10.74,5,45.74,39.2,🟡 Moderate,1,-0.5092837095000144,1,🟡 Moderate,2,Cyber-Dominant
India-Pakistan Escalation 2025,2026,Latin America,Venezuela; United States,Low,Low,Severe,Global market impact,Low,0.521,5,10,20,7.82,10,52.82,47.5,🟡 Moderate,1,-0.5335844420658177,1,🟡 Moderate,2,Cyber-Dominant
Korean Peninsula Risk,2024,South Asia,China; Taiwan,Low,None,Low,Global market impact,Low,0.073,5,0,5,1.1,10,21.1,10.3,🟢 Low,-1,-0.6134504311895908,0,🟢 Low,1,Direct Confrontation
Taiwan Strait Stability,2024,East Asia,India; Pakistan,Severe,Low,High,Global market impact,Low,0.737,25,10,15,11.06,10,71.06,68.9,🟠 High,1,-0.550714822225014,2,🟠 High,0,Proxy War
Venezuela-US Tensions 2026,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Severe,Energy price spike,High,0.545,10,0,20,8.18,5,43.18,36.2,🟡 Moderate,1,-0.5170732007937799,1,🟡 Moderate,2,Cyber-Dominant
Russia-Ukraine Conflict,2024,East Asia,Venezuela; United States,Moderate,None,High,Energy price spike,Medium,0.037,10,0,15,0.55,5,30.55,21.4,🟢 Low,1,-0.545392509937204,0,🟢 Low,1,Direct Confrontation
Taiwan Strait Stability,2025,Eastern Europe,Venezuela; United States,Low,None,Severe,Localized shock,High,0.163,5,0,20,2.45,2,29.45,20.1,🟢 Low,1,-0.578692608742078,0,🟢 Low,1,Direct Confrontation
Taiwan Strait Stability,2024,East Asia,Venezuela; United States,Moderate,High,Severe,Regional recession,High,0.317,10,30,20,4.76,7,71.76,69.7,🟠 High,1,-0.5249756624471487,2,🟠 High,1,Direct Confrontation
Korean Peninsula Risk,2025,Middle East,Venezuela; United States,Severe,Moderate,High,Global market impact,Medium,0.056,25,20,15,0.84,10,70.84,68.6,🟠 High,1,-0.5576613222529152,2,🟠 High,0,Proxy War
